Episode,AcceptanceRatio,Revenue,Cost,R2C,CPUUtilization,BWUtilization
0,100.0,221,181.22,1.2195121951219512,0.7101442307692307,0.7186049207780497
1,100.0,761,624.02,1.2195121951219512,0.7165384615384616,0.720787066855597
2,100.0,267,218.94,1.2195121951219512,0.718701923076923,0.7216449826098158
3,100.0,1005,824.0999999999999,1.2195121951219514,0.7275,0.7243217828159216
4,100.0,208,170.56,1.2195121951219512,0.7303365384615385,0.7248808450341363
5,100.0,678,555.9599999999999,1.2195121951219514,0.7353846153846154,0.726704882133196
6,100.0,252,206.64,1.2195121951219512,0.7384134615384615,0.7273618446476877
7,100.0,593,486.26,1.2195121951219512,0.743125,0.7291730001288161
8,100.0,690,565.8,1.2195121951219514,0.7478846153846154,0.731105242818498
10,90.9090909090909,549,450.17999999999995,1.2195121951219514,0.7512019230769231,0.7315045729743656
11,91.66666666666666,257,210.73999999999998,1.2195121951219514,0.749375,0.7299162694834471
12,92.3076923076923,233,191.06,1.2195121951219512,0.7513942307692307,0.7295761947700631
13,92.85714285714286,960,787.1999999999999,1.2195121951219514,0.7505288461538462,0.7295594486667526
14,93.33333333333333,782,641.24,1.2195121951219512,0.7534615384615385,0.7310060543604276
15,93.75,979,802.78,1.2195121951219512,0.7563461538461539,0.7315895916527115
16,94.11764705882352,740,606.8,1.2195121951219514,0.7582692307692308,0.7327785649877625
17,94.44444444444444,902,739.64,1.2195121951219512,0.7621153846153846,0.7331418266134226
18,94.73684210526315,611,501.02,1.2195121951219512,0.7619711538461539,0.7327296148396238
21,86.36363636363636,227,186.14,1.2195121951219514,0.7559134615384615,0.7315045729743656
23,83.33333333333334,657,538.74,1.2195121951219512,0.7486538461538461,0.7297011464639959
24,84.0,221,181.22,1.2195121951219512,0.7453846153846154,0.7282764395208038
25,84.61538461538461,647,530.54,1.2195121951219512,0.7417307692307692,0.7278011078191421
26,85.18518518518519,868,711.76,1.2195121951219512,0.7439423076923077,0.7281785392245266
27,85.71428571428571,987,809.3399999999999,1.2195121951219514,0.7435096153846154,0.7285701404096354
28,86.20689655172413,554,454.28,1.2195121951219512,0.7437019230769231,0.7285379363648075
29,86.66666666666667,239,195.98,1.2195121951219512,0.7477884615384616,0.7290261496844004
30,87.09677419354838,761,624.02,1.2195121951219512,0.7536057692307693,0.7312495169393276
31,87.5,974,798.68,1.2195121951219512,0.7575480769230769,0.733485765812186
34,82.85714285714286,628,514.9599999999999,1.2195121951219514,0.7552403846153846,0.7332281334535617
35,83.33333333333334,745,610.9,1.2195121951219512,0.7578846153846154,0.7327772768259694
36,83.78378378378379,869,712.5799999999999,1.2195121951219514,0.7567307692307692,0.7328081927090042
