Episode,AcceptanceRatio,Revenue,Cost,R2C,CPUUtilization,BWUtilization
0,100.0,1042,854.4399999999999,1.2195121951219514,0.7225961538461538,0.719939016478526
1,100.0,802,657.64,1.2195121951219512,0.7289903846153846,0.7221668612949267
2,100.0,974,798.68,1.2195121951219512,0.73625,0.7248410535876476
3,100.0,350,287.0,1.2195121951219512,0.7396634615384615,0.7257376411054886
4,100.0,528,432.96,1.2195121951219512,0.7432211538461538,0.7271869728817958
5,100.0,642,526.4399999999999,1.2195121951219514,0.7476442307692308,0.7286557674841053
6,100.0,987,809.3399999999999,1.2195121951219514,0.755673076923077,0.7311158686908006
7,100.0,531,435.41999999999996,1.2195121951219514,0.76,0.73230569612041
11,75.0,765,627.3,1.2195121951219514,0.7507692307692307,0.7292746853509796
12,76.92307692307693,322,264.03999999999996,1.2195121951219514,0.7482692307692308,0.7273491630984819
13,78.57142857142857,231,189.42,1.2195121951219512,0.7484615384615385,0.7270598157519138
14,80.0,211,173.01999999999998,1.2195121951219514,0.7472596153846154,0.7263409887115609
15,81.25,875,717.5,1.2195121951219512,0.7511057692307692,0.7270572207084469
16,82.35294117647058,304,249.27999999999997,1.2195121951219514,0.7470192307692308,0.7254223433242507
17,83.33333333333334,264,216.48,1.2195121951219512,0.745048076923077,0.725149863760218
19,80.0,159,130.38,1.2195121951219512,0.7480288461538461,0.7254885169326586
20,80.95238095238095,205,168.1,1.2195121951219512,0.7513461538461539,0.7260490463215259
22,78.26086956521739,669,548.5799999999999,1.2195121951219514,0.7453365384615385,0.724913714804723
23,79.16666666666666,256,209.92,1.2195121951219512,0.7461057692307692,0.7248721941092513
24,80.0,811,665.02,1.2195121951219512,0.7504326923076923,0.7264966913195796
25,80.76923076923077,846,693.7199999999999,1.2195121951219514,0.7480769230769231,0.7262125340599455
26,81.48148148148148,890,729.8,1.2195121951219512,0.7500961538461538,0.7276813286622551
27,82.14285714285714,275,225.5,1.2195121951219512,0.7514423076923077,0.7274802127935643
29,80.0,250,205.0,1.2195121951219512,0.7524038461538461,0.7275373037498378
30,80.64516129032258,899,737.18,1.2195121951219512,0.7557211538461538,0.7293343713507201
31,81.25,720,590.4,1.2195121951219512,0.7611538461538462,0.7312534059945504
33,79.41176470588235,629,515.78,1.2195121951219512,0.7564423076923077,0.730533281432464
35,77.77777777777779,264,216.48,1.2195121951219512,0.7471634615384616,0.7269625016219021
36,78.37837837837837,642,526.4399999999999,1.2195121951219514,0.7450961538461538,0.7260464512780589
37,78.94736842105263,310,254.2,1.2195121951219512,0.7459615384615385,0.7262358894511483
39,77.5,565,463.29999999999995,1.2195121951219514,0.7462019230769231,0.7276631633579862
40,78.04878048780488,872,715.04,1.2195121951219512,0.7467788461538462,0.7272648241858051
41,78.57142857142857,227,186.14,1.2195121951219514,0.7441346153846153,0.72591669910471
42,79.06976744186046,883,724.06,1.2195121951219514,0.7517307692307692,0.7285493707019592
43,79.54545454545455,971,796.2199999999999,1.2195121951219514,0.7554807692307692,0.728941222265473
44,80.0,680,557.6,1.2195121951219512,0.761875,0.730759050214091
45,80.43478260869566,523,428.85999999999996,1.2195121951219514,0.7625961538461539,0.7313286622550927
46,80.85106382978722,520,426.4,1.2195121951219512,0.763125,0.7312702737770858
47,81.25,200,164.0,1.2195121951219512,0.7603846153846154,0.7309290255611781
48,81.63265306122449,661,542.02,1.2195121951219512,0.7653846153846153,0.7327144154664591
52,77.35849056603774,255,209.1,1.2195121951219512,0.7457692307692307,0.7264603607110419
53,77.77777777777779,315,258.3,1.2195121951219512,0.7409134615384615,0.7252822109770338
54,78.18181818181819,652,534.64,1.2195121951219512,0.7392307692307692,0.7252095497599584
55,78.57142857142857,287,235.33999999999997,1.2195121951219514,0.7389423076923077,0.7247930452835085
56,78.94736842105263,672,551.04,1.2195121951219512,0.7398557692307692,0.7250577397171403
57,79.3103448275862,802,657.64,1.2195121951219512,0.7444711538461538,0.7271882704035293
